0059,Y,Y,&;,0,,,BasLat,3.0,"LATIN CAPITAL LETTER Y",accepted,,0,,"2025-09-25 09:37:38",https://mufi.info/q.php?p=mufi/chars/unichar/89
005A,Z,Z,&;,0,,,BasLat,3.0,"LATIN CAPITAL LETTER Z",accepted,,0,,"2025-09-25 09:37:38",https://mufi.info/q.php?p=mufi/chars/unichar/90
005B,[,_punctuation,&lsqb;,0,,,BasLat,3.0,"LEFT SQUARE BRACKET",accepted,,0,,"2025-09-25 09:37:40",https://mufi.info/q.php?p=mufi/chars/unichar/91
005C,"\",_punctuation,&bsol;,0,,,BasLat,3.0,"REVERSE SOLIDUS",accepted,,0,,"2025-09-25 09:37:39",https://mufi.info/q.php?p=mufi/chars/unichar/92
005D,],_punctuation,&rsqb;,0,,,BasLat,3.0,"RIGHT SQUARE BRACKET",accepted,,0,,"2025-09-25 09:37:40",https://mufi.info/q.php?p=mufi/chars/unichar/93
005E,^,_spacing,&circ;,0,,,BasLat,3.0,"CIRCUMFLEX ACCENT",accepted,,0," ́","2025-09-25 09:37:39",https://mufi.info/q.php?p=mufi/chars/unichar/94
005F,_,_punctuation,&lowbar;,0,,,BasLat,3.0,"LOW LINE",accepted,,0,,"2025-09-25 09:37:50",https://mufi.info/q.php?p=mufi/chars/unichar/95
0060,`,_spacing,&grave;,0,,,BasLat,3.0,"GRAVE ACCENT",accepted,,0," ̈","2025-09-25 09:37:43",https://mufi.info/q.php?p=mufi/chars/unichar/96
0061,a,A,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER A",accepted,,0,,"2025-09-25 09:37:38",https://mufi.info/q.php?p=mufi/chars/unichar/97
0062,b,B,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER B",accepted,,0,,"2025-09-25 09:37:39",https://mufi.info/q.php?p=mufi/chars/unichar/98
0063,c,C,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER C",accepted,,0,,"2025-09-25 09:37:40",https://mufi.info/q.php?p=mufi/chars/unichar/99
0064,d,D,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER D",accepted,,0,,"2025-09-25 09:37:40",https://mufi.info/q.php?p=mufi/chars/unichar/100
0065,e,E,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER E",accepted,,0,,"2025-09-25 09:37:41",https://mufi.info/q.php?p=mufi/chars/unichar/101
0066,f,F,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER F",accepted,,0,,"2025-09-25 09:37:42",https://mufi.info/q.php?p=mufi/chars/unichar/102
0067,g,G,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER G",accepted,,0,,"2025-09-25 09:37:42",https://mufi.info/q.php?p=mufi/chars/unichar/103
0068,h,H,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER H",accepted,,0,,"2025-09-25 09:37:43",https://mufi.info/q.php?p=mufi/chars/unichar/104
0069,i,I,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER I",accepted,,0,,"2025-09-25 09:37:43",https://mufi.info/q.php?p=mufi/chars/unichar/105
006A,j,J,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER J",accepted,,0,,"2025-09-25 09:37:44",https://mufi.info/q.php?p=mufi/chars/unichar/106
006B,k,K,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER K",accepted,,0,,"2025-09-25 09:37:44",https://mufi.info/q.php?p=mufi/chars/unichar/107
006C,l,L,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER L",accepted,,0,,"2025-09-25 09:37:44",https://mufi.info/q.php?p=mufi/chars/unichar/108
006D,m,M,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER M",accepted,,0,,"2025-09-25 09:37:45",https://mufi.info/q.php?p=mufi/chars/unichar/109
006E,n,N,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER N",accepted,,0,,"2025-09-25 09:37:45",https://mufi.info/q.php?p=mufi/chars/unichar/110
006F,o,O,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER O",accepted,,0,,"2025-09-25 09:37:45",https://mufi.info/q.php?p=mufi/chars/unichar/111
0070,p,P,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER P",accepted,,0,,"2025-09-25 09:37:46",https://mufi.info/q.php?p=mufi/chars/unichar/112
0071,q,Q,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER Q",accepted,,0,,"2025-09-25 09:37:47",https://mufi.info/q.php?p=mufi/chars/unichar/113
0072,r,R,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER R",accepted,,0,,"2025-09-25 09:37:47",https://mufi.info/q.php?p=mufi/chars/unichar/114
0073,s,S,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER S",accepted,,0,,"2025-09-25 09:37:48",https://mufi.info/q.php?p=mufi/chars/unichar/115
0074,t,T,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER T",accepted,,0,,"2025-09-25 09:37:49",https://mufi.info/q.php?p=mufi/chars/unichar/116
